,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
271,2018-07-28,2018,7,28,43,Barcelona - Eixample,41.3853,2.1538,31.82608695652174
272,2018-07-28,2018,7,28,44,Barcelona - Gràcia,41.3987,2.1534,23.65
273,2018-07-28,2018,7,28,50,Barcelona - Ciutadella,41.3864,2.1874,33.130434782608695
274,2018-07-28,2018,7,28,54,Barcelona - Vall Hebron,41.4261,2.148,26.0
275,2018-07-28,2018,7,28,58,Barcelona - Observ Fabra,41.4183,2.1239,3.869565217391304
276,2018-07-29,2018,7,29,4,Barcelona - Poblenou,41.4039,2.2045,19.666666666666668
277,2018-07-29,2018,7,29,42,Barcelona - Sants,41.3788,2.1331,17.08695652173913
278,2018-07-29,2018,7,29,43,Barcelona - Eixample,41.3853,2.1538,33.82608695652174
279,2018-07-29,2018,7,29,44,Barcelona - Gràcia,41.3987,2.1534,23.47826086956522
280,2018-07-29,2018,7,29,50,Barcelona - Ciutadella,41.3864,2.1874,23.0
281,2018-07-29,2018,7,29,54,Barcelona - Vall Hebron,41.4261,2.148,14.304347826086957
282,2018-07-29,2018,7,29,58,Barcelona - Observ Fabra,41.4183,2.1239,8.833333333333334
283,2018-07-30,2018,7,30,4,Barcelona - Poblenou,41.4039,2.2045,23.347826086956523
284,2018-07-30,2018,7,30,42,Barcelona - Sants,41.3788,2.1331,25.52173913043478
285,2018-07-30,2018,7,30,43,Barcelona - Eixample,41.3853,2.1538,58.94444444444444
286,2018-07-30,2018,7,30,44,Barcelona - Gràcia,41.3987,2.1534,46.82608695652174
287,2018-07-30,2018,7,30,50,Barcelona - Ciutadella,41.3864,2.1874,31.681818181818183
288,2018-07-30,2018,7,30,54,Barcelona - Vall Hebron,41.4261,2.148,27.181818181818183
289,2018-07-30,2018,7,30,58,Barcelona - Observ Fabra,41.4183,2.1239,16.90909090909091
290,2018-07-31,2018,7,31,4,Barcelona - Poblenou,41.4039,2.2045,38.91304347826087
291,2018-07-31,2018,7,31,42,Barcelona - Sants,41.3788,2.1331,47.541666666666664
292,2018-07-31,2018,7,31,43,Barcelona - Eixample,41.3853,2.1538,60.8
